A=8152 B=5866 C=6438 X=962352871 Y=4491528707 Z=15464265843 M=7249
A=8071 B=9644 C=9960 X=467699420 Y=2613293938 Z=12572625640 M=1009
A=4920 B=8926 C=9361 X=615251682 Y=9012160631 Z=16290552966 M=5208
A=6183 B=7896 C=7039 X=643539831 Y=5989438744 Z=51055009218 M=7781
A=5323 B=8118 C=9843 X=653449607 Y=1226628283 Z=60819984873 M=8085
A=3416 B=5192 C=6753 X=441447296 Y=3624245555 Z=41749122039 M=8404
A=8082 B=5542 C=7720 X=501180740 Y=3921779870 Z=21582351822 M=5151
A=9041 B=4497 C=6881 X=783756570 Y=9366315695 Z=38614243717 M=9475
A=3723 B=9768 C=7129 X=477422416 Y=1278231982 Z=31387334050 M=4696
A=2188 B=7761 C=6341 X=455276787 Y=8518681830 Z=35801055040 M=1827
A=4326 B=9086 C=9744 X=527047988 Y=6680202004 Z=62817207134 M=6934
A=6736 B=5942 C=5733 X=923827233 Y=3789535128 Z=26239023561 M=8105
A=3801 B=5920 C=9684 X=858556749 Y=9711119314 Z=86412470747 M=9682
A=9555 B=8497 C=9754 X=576222691 Y=3228837143 Z=85299122820 M=5379
A=4969 B=7760 C=7072 X=191812411 Y=3837598986 Z=72810504330 M=8706
A=7359 B=8407 C=6631 X=862974577 Y=9195542093 Z=45408898726 M=9643
A=5779 B=6507 C=5306 X=542987469 Y=9316411326 Z=39910485392 M=6682
A=7420 B=6825 C=7937 X=866184171 Y=6647627685 Z=28192082106 M=1811
A=2187 B=9222 C=9333 X=308494288 Y=9116065839 Z=33304746755 M=1878
A=2942 B=3430 C=7479 X=538126515 Y=2068052356 Z=53869337690 M=2044
A=6508 B=9166 C=7846 X=378211990 Y=9560349415 Z=69531623802 M=8663
A=6610 B=7935 C=6380 X=753242224 Y=3028925600 Z=36077834572 M=1318
A=2051 B=5660 C=9387 X=994535266 Y=9342784621 Z=64759040878 M=9125
A=3079 B=6301 C=6932 X=709402515 Y=4297407062 Z=39139750183 M=1439
A=9288 B=6403 C=5559 X=160446560 Y=7280137134 Z=58659777223 M=9562
A=3839 B=8719 C=8008 X=166257382 Y=3380639512 Z=35892939971 M=4379
A=5557 B=7530 C=6622 X=564016477 Y=6372895676 Z=25766179061 M=9179
A=7286 B=8613 C=7253 X=396704259 Y=1305793937 Z=92222806330 M=1422
A=8326 B=5888 C=6496 X=582411000 Y=4535261912 Z=65385356985 M=9613
A=3596 B=7984 C=5394 X=838151650 Y=8908230473 Z=66510676529 M=7541
A=7960 B=9844 C=9093 X=721642101 Y=6574478556 Z=65312917486 M=7488
A=5017 B=6988 C=7702 X=150239905 Y=3969714744 Z=72139151102 M=7282
A=5448 B=6538 C=5573 X=980878793 Y=6550865833 Z=74256073157 M=5374
A=6738 B=4704 C=6270 X=131212564 Y=9113034645 Z=96836382095 M=4057
A=8641 B=6289 C=9284 X=804177153 Y=7387895127 Z=43593204200 M=2804
A=7664 B=9500 C=8209 X=483244554 Y=6312804996 Z=38549776443 M=3275
A=6773 B=3153 C=6208 X=164567328 Y=6125910137 Z=46078965736 M=2267
A=5847 B=8914 C=6421 X=406972219 Y=2040134681 Z=73653764883 M=6160
A=9377 B=7554 C=7210 X=914897384 Y=1319665650 Z=21046695034 M=3263
A=7192 B=8109 C=7861 X=967320623 Y=1550432356 Z=66672799055 M=2693
A=4672 B=4137 C=8630 X=483660962 Y=4538655838 Z=65985588566 M=3653
A=6792 B=5482 C=6325 X=859172679 Y=9511039556 Z=20808256148 M=8320
A=4543 B=5025 C=6089 X=218706259 Y=4942120986 Z=14211140121 M=2559
A=6473 B=6421 C=8827 X=439641016 Y=9788190623 Z=99320365817 M=2110
A=3840 B=4719 C=8964 X=631899421 Y=3151144690 Z=18075367182 M=3340
A=6198 B=7044 C=6257 X=620258764 Y=1238442242 Z=32743795173 M=2098
A=2748 B=4341 C=7243 X=359292922 Y=7258465814 Z=21134556341 M=9089
A=6043 B=3440 C=8474 X=780632920 Y=5482246266 Z=74890158889 M=7898
A=9258 B=7511 C=7161 X=268875527 Y=9313527655 Z=75100033626 M=6722
A=5960 B=5275 C=8715 X=568434836 Y=4247776388 Z=11410646928 M=9782
A=3228 B=8730 C=5532 X=518591643 Y=6950750334 Z=52177926425 M=8365
A=5163 B=5437 C=8707 X=873114840 Y=6247436107 Z=30439668708 M=7912
A=6589 B=6472 C=7599 X=293699535 Y=3099170715 Z=54247597585 M=3268
A=5526 B=5727 C=8178 X=922354968 Y=8586622050 Z=93717738671 M=1277
A=9720 B=9852 C=7429 X=109422014 Y=3156715635 Z=87548232314 M=6943
A=8775 B=7057 C=9684 X=873503105 Y=2582428471 Z=84151358765 M=5728
A=6400 B=6248 C=6577 X=608692493 Y=9744432108 Z=14415030156 M=8646
A=5309 B=3291 C=6384 X=607848286 Y=2688699711 Z=73601616516 M=4708
A=9059 B=7291 C=6867 X=202056729 Y=1255112053 Z=85197727631 M=6549
A=9550 B=7287 C=7888 X=991764719 Y=6400730299 Z=33205249900 M=1792
A=9311 B=4561 C=9754 X=608900912 Y=1284908499 Z=15223453420 M=3355
A=5710 B=6606 C=8417 X=340999452 Y=7740166993 Z=57407892863 M=3032
A=7572 B=4295 C=8962 X=904840817 Y=7173846600 Z=76043075596 M=9873
A=8865 B=7216 C=8028 X=249355556 Y=7592353482 Z=72165268246 M=8416
A=2554 B=5072 C=9810 X=279692500 Y=8404878680 Z=87565248036 M=1276
A=8776 B=4921 C=8397 X=922820866 Y=5184271237 Z=99577289503 M=5431
A=4957 B=4891 C=9929 X=236302866 Y=6475243980 Z=22126197914 M=5165
A=3241 B=8006 C=7974 X=484444839 Y=5718119628 Z=66365197560 M=7357
A=5766 B=7544 C=6270 X=990999413 Y=1885573538 Z=90898475444 M=2252
A=7801 B=6407 C=7293 X=194973323 Y=3586220210 Z=83807261520 M=5013
A=4640 B=4882 C=8095 X=234155283 Y=5604967206 Z=65004024249 M=6178
A=6495 B=4229 C=5365 X=274540336 Y=2734349258 Z=73907508773 M=8688
A=8704 B=7956 C=8313 X=394747634 Y=9683098445 Z=47976533699 M=2360
A=9427 B=6591 C=6192 X=785937161 Y=9830357234 Z=57450093765 M=6048
A=5059 B=7969 C=7211 X=636413962 Y=8606446982 Z=55965261730 M=8600
A=3704 B=4568 C=9394 X=778881099 Y=8481635697 Z=27083036288 M=5656
A=9836 B=8808 C=8239 X=416557574 Y=7654956870 Z=53470099579 M=8284
A=7530 B=8906 C=7958 X=726534615 Y=1857615221 Z=21924348627 M=7445
A=5898 B=7574 C=9802 X=727112520 Y=8064319755 Z=48951314795 M=9034
A=4069 B=7149 C=5551 X=593591846 Y=6290014767 Z=45776044061 M=3026
A=2089 B=9923 C=8507 X=960031625 Y=2599128125 Z=19412198505 M=9742
A=6742 B=9621 C=9056 X=263166082 Y=9612986815 Z=32282324264 M=3634
A=6922 B=8194 C=8780 X=896229820 Y=3010330264 Z=42771278530 M=3209
A=3698 B=7001 C=9872 X=609570534 Y=2677138527 Z=51269406841 M=1891
A=7225 B=4019 C=9142 X=955715862 Y=5647377835 Z=76080407448 M=1949
A=7121 B=5495 C=6491 X=827531412 Y=1989580025 Z=66377179434 M=8226
A=6314 B=4624 C=7527 X=198091347 Y=1613109865 Z=87021659685 M=9527
A=8189 B=9813 C=5838 X=895032807 Y=1056853420 Z=32180349670 M=6469
A=2854 B=6504 C=9277 X=818362853 Y=4776056944 Z=48586924532 M=1109
A=3167 B=9555 C=6910 X=421814718 Y=6359424578 Z=50733747586 M=2728
A=9253 B=9317 C=5029 X=459233953 Y=4303261335 Z=89860849870 M=1618
A=4348 B=6687 C=5621 X=791026299 Y=8104896428 Z=62975692803 M=7588
A=7577 B=6310 C=6290 X=618565776 Y=5412183538 Z=11866670692 M=1980
A=2364 B=6432 C=5120 X=619482077 Y=4126718734 Z=60805002501 M=7157
A=4883 B=4135 C=6210 X=222254917 Y=2542857212 Z=40979369207 M=5650
A=8309 B=8445 C=8532 X=539726970 Y=6196055568 Z=14061998255 M=3316
A=3981 B=5641 C=5127 X=740018457 Y=8701013404 Z=24818468994 M=7547
A=9376 B=4041 C=5236 X=295273299 Y=8651309229 Z=19761110872 M=3598
A=5013 B=3330 C=6247 X=302105881 Y=7724944360 Z=37657634811 M=6840
A=3850 B=8416 C=5926 X=728101099 Y=3639733340 Z=36629045382 M=2347
A=7181 B=6568 C=6384 X=551232438 Y=3321703982 Z=19311832755 M=4693
A=3991 B=9224 C=9377 X=411987486 Y=1263402836 Z=98668405008 M=7429
A=6795 B=5436 C=7413 X=765786247 Y=1369172398 Z=71633501913 M=5447
A=4887 B=3454 C=6910 X=387820744 Y=5686529186 Z=56237074285 M=3189
A=5981 B=7837 C=7619 X=364194565 Y=2961772144 Z=95765299009 M=2658
A=9991 B=3337 C=6856 X=488596068 Y=7091265294 Z=81251530638 M=2068
A=4706 B=9256 C=5429 X=673862194 Y=4618400623 Z=55108592935 M=1704
A=2458 B=8510 C=8473 X=483388455 Y=7437349892 Z=53201233062 M=7841
A=7238 B=9149 C=5915 X=249945307 Y=4024576645 Z=83167356847 M=9560
A=7328 B=9985 C=9549 X=948979567 Y=6487643888 Z=40673022855 M=6237
A=3792 B=9162 C=5988 X=363126917 Y=1324570584 Z=94510735387 M=4039
A=6193 B=9062 C=9469 X=136238347 Y=8794639917 Z=80296678267 M=1526
A=2402 B=6821 C=6547 X=454355757 Y=7355358499 Z=58876157900 M=3391
A=5767 B=4924 C=5073 X=698656785 Y=7126782546 Z=67499454766 M=2334
A=4532 B=8991 C=9070 X=652144034 Y=4432306146 Z=28414890921 M=4865
A=3000 B=4450 C=5044 X=744988113 Y=4034324716 Z=92778679951 M=8903
A=9368 B=9523 C=8390 X=862956618 Y=8359693052 Z=45306399844 M=2361
A=4776 B=8426 C=5556 X=863873690 Y=1619798330 Z=67124830213 M=2890
A=7353 B=4042 C=5510 X=236512885 Y=9075042093 Z=81393467318 M=1419
A=2991 B=8091 C=8271 X=740430592 Y=4767676421 Z=61426237309 M=9763
A=6178 B=5748 C=5097 X=998001774 Y=9819581655 Z=37450416506 M=5479
A=7503 B=7027 C=9286 X=190861861 Y=9871535590 Z=26092245347 M=7078
A=4477 B=8370 C=7204 X=895486152 Y=6382478026 Z=91721412568 M=4205
A=6850 B=9088 C=6221 X=411675584 Y=4381954752 Z=25711329997 M=8808
A=5899 B=6690 C=8838 X=884173603 Y=4697670490 Z=21024059765 M=4246
A=5808 B=9302 C=8001 X=613014546 Y=8260017391 Z=83197137108 M=1942
A=8512 B=3604 C=5922 X=903154449 Y=7635083958 Z=24175711472 M=8456
A=3909 B=5741 C=5496 X=213645038 Y=6080988532 Z=48394799825 M=9965
A=9822 B=9048 C=6694 X=687191854 Y=6133945365 Z=88736624476 M=8830
A=2917 B=9320 C=6359 X=762569111 Y=4238310237 Z=24092691411 M=2783
A=8635 B=5628 C=9595 X=102549688 Y=9068147216 Z=32428258626 M=2243
A=7386 B=6803 C=7293 X=564746466 Y=5754423947 Z=79931028018 M=3736
A=6060 B=9098 C=7554 X=465414268 Y=3060198872 Z=88635167289 M=4139
A=3584 B=3667 C=5953 X=479935034 Y=6721913850 Z=76915459481 M=1066
A=3116 B=5312 C=5741 X=559779353 Y=6653911037 Z=49852788123 M=1006
A=4544 B=6065 C=6967 X=758574226 Y=3648111614 Z=37515592613 M=4579
A=2330 B=5595 C=6273 X=511559967 Y=4575906114 Z=91108755902 M=8306
A=8918 B=4838 C=6960 X=445052088 Y=9494994177 Z=53409063000 M=8753
A=2987 B=7613 C=9940 X=304195969 Y=9519525741 Z=52609402778 M=6507
A=2811 B=3975 C=6825 X=549363838 Y=9667336656 Z=21657647288 M=7387
A=6192 B=5792 C=9809 X=346142600 Y=4794527733 Z=30765291495 M=8646
A=9423 B=6748 C=5267 X=202357689 Y=9564818619 Z=95491348802 M=7926
A=6960 B=6101 C=9324 X=292899498 Y=9669787610 Z=26481768619 M=7179
A=2820 B=5802 C=6877 X=882506153 Y=1915291956 Z=89058084091 M=6629
A=2217 B=3712 C=5591 X=401313951 Y=2269664465 Z=79246724913 M=4322
A=3482 B=9958 C=9617 X=579570333 Y=5903143536 Z=19381203703 M=4270
A=5221 B=5311 C=5180 X=642150429 Y=8090655734 Z=98423487200 M=3043
A=8784 B=4473 C=5680 X=607867628 Y=2719819563 Z=93920850692 M=7753
A=6343 B=8900 C=6036 X=223929173 Y=5860669434 Z=67113198983 M=4380
A=6399 B=8593 C=5581 X=461078953 Y=4121090588 Z=67112487440 M=2637
A=6405 B=7956 C=7119 X=981151272 Y=7706985524 Z=20332554280 M=7478
A=4951 B=7666 C=9827 X=485841188 Y=5407906154 Z=21164436019 M=4638
A=7172 B=5014 C=5991 X=416759340 Y=7819455464 Z=21324773363 M=4242
A=2915 B=7414 C=6456 X=650975056 Y=4116713923 Z=16067839707 M=9596
A=3187 B=5440 C=7434 X=603205560 Y=8407871984 Z=45592346793 M=8658
A=8251 B=9139 C=7119 X=943649352 Y=5636852748 Z=88850926127 M=6036
A=2565 B=7109 C=5786 X=631807990 Y=7620291535 Z=98672112973 M=2176
A=4459 B=6300 C=8589 X=553327768 Y=8412010155 Z=83009619608 M=6707
A=2746 B=7906 C=9749 X=194636457 Y=7685293027 Z=23498252077 M=6385
A=4816 B=9105 C=8611 X=366688297 Y=1872854064 Z=66324799108 M=2867
A=7728 B=7691 C=9776 X=127096236 Y=6692949259 Z=32586519630 M=7968
A=3302 B=9785 C=9819 X=638019528 Y=7848800475 Z=11899317750 M=4814
A=2342 B=3577 C=5605 X=380459635 Y=3831289015 Z=96955620348 M=2463
A=5462 B=6094 C=7057 X=938749923 Y=7986607456 Z=48715215821 M=6840
A=9023 B=4065 C=8574 X=241373682 Y=2898192815 Z=36264766393 M=1570
A=5281 B=9720 C=9994 X=621617984 Y=4788729951 Z=70810247954 M=1379
A=8530 B=6457 C=9353 X=237781521 Y=9256585701 Z=65783399866 M=3240
A=9611 B=4702 C=6758 X=618563159 Y=9155332610 Z=94176810122 M=1812
A=4121 B=7211 C=8690 X=300489571 Y=5335188497 Z=96920403867 M=1637
A=5905 B=4760 C=9186 X=200302900 Y=2249568000 Z=96295055242 M=7050
A=3619 B=4459 C=9012 X=986716743 Y=6080763670 Z=91202557029 M=8654
A=5293 B=6979 C=7834 X=733376758 Y=4499875883 Z=47664094051 M=8942
A=6020 B=3963 C=6930 X=590269742 Y=3584880839 Z=33540059813 M=8780
A=9388 B=5569 C=8031 X=978839953 Y=5960031523 Z=88913581730 M=9609
A=2998 B=9692 C=6863 X=300670506 Y=4447677553 Z=15175268238 M=4674
A=7668 B=9160 C=7147 X=285430166 Y=4723540766 Z=77649254311 M=8865
A=9039 B=8028 C=8424 X=802079196 Y=4724094668 Z=11499503154 M=3454
A=9251 B=5778 C=9025 X=220543562 Y=3152840965 Z=75149642236 M=4070
A=8525 B=5410 C=9043 X=821790170 Y=6427439258 Z=96997751858 M=4165
A=6572 B=9266 C=5000 X=557650654 Y=6825044459 Z=82875834881 M=6545
A=5559 B=9797 C=8115 X=377861092 Y=4865646902 Z=75866754954 M=6887
A=3643 B=5631 C=5902 X=284364907 Y=4016747448 Z=92948409389 M=7556
A=7899 B=3661 C=9809 X=208807859 Y=7396338308 Z=18500222654 M=9037
A=6415 B=8434 C=7661 X=595100164 Y=2652215416 Z=55294117386 M=1711
A=6515 B=6112 C=7172 X=950975067 Y=7149054374 Z=38738981237 M=3903
A=5652 B=9246 C=7721 X=130194832 Y=5305228151 Z=28862440714 M=4981
A=6160 B=6192 C=7141 X=689110498 Y=3181681854 Z=64728866111 M=5642
A=9668 B=7381 C=7956 X=289559763 Y=1436399652 Z=83667331702 M=6103
A=4358 B=4860 C=8412 X=313448200 Y=6264922553 Z=74927029660 M=9777
A=7523 B=5900 C=9452 X=858586198 Y=7064873047 Z=89805789714 M=5228
A=8455 B=4843 C=9365 X=895447964 Y=6446658763 Z=44835614560 M=9476
A=5346 B=7750 C=6123 X=538026626 Y=7407711313 Z=44706893294 M=5539
A=2731 B=8268 C=8556 X=634586791 Y=6573989646 Z=15634461715 M=8241
A=6434 B=6919 C=8083 X=402884209 Y=6669187771 Z=46874440992 M=7351
A=2910 B=7752 C=5779 X=533976875 Y=4978414625 Z=68473063988 M=3555
A=4053 B=4142 C=8884 X=656373215 Y=9435142523 Z=42509939755 M=1178
A=5557 B=7096 C=6580 X=356601661 Y=5952502427 Z=45514526231 M=8691
A=4176 B=7757 C=6258 X=484773042 Y=3522011182 Z=21523324528 M=9673
A=5826 B=6540 C=6256 X=468106612 Y=5508981272 Z=79624086414 M=2205
A=9274 B=5688 C=7066 X=745453543 Y=4466704406 Z=98261963504 M=5175
A=3405 B=7865 C=9602 X=439276902 Y=3090708259 Z=78159172751 M=8680
A=7569 B=8193 C=9959 X=533566534 Y=1615268074 Z=69977720786 M=1580
A=4138 B=4169 C=6545 X=685050728 Y=8823730611 Z=93883992240 M=1857
A=7420 B=4217 C=8046 X=103911739 Y=8930116147 Z=95168243954 M=8699
A=7319 B=4617 C=5923 X=126328213 Y=4329431371 Z=31656410130 M=2069
A=2074 B=3013 C=6330 X=384220414 Y=3770122677 Z=81735983021 M=6023
A=2592 B=8262 C=9456 X=479099209 Y=2782100089 Z=62289725333 M=2445
A=3868 B=6896 C=9041 X=944187932 Y=8622752175 Z=37435477205 M=4209
A=5169 B=4220 C=6774 X=198962962 Y=7641381076 Z=53499351513 M=3033
A=2535 B=7475 C=7587 X=323181431 Y=5212714396 Z=65878535930 M=6641
A=9903 B=5615 C=7713 X=384736285 Y=2454093093 Z=31638190140 M=8853
A=4285 B=5962 C=9695 X=848954684 Y=7098076752 Z=77277310406 M=9847
A=5590 B=3760 C=8167 X=845393445 Y=7756295806 Z=99111113824 M=1138
A=8375 B=7737 C=7712 X=180551606 Y=7594201870 Z=77750446962 M=8618
A=8591 B=5619 C=9663 X=250731620 Y=8148801572 Z=34705951269 M=7187
A=8225 B=5654 C=9544 X=796165586 Y=7253837930 Z=22677089510 M=9737
A=5332 B=8444 C=5835 X=300735198 Y=2545814702 Z=56260167987 M=6024
A=8397 B=7661 C=7823 X=788953334 Y=4768844287 Z=45557677436 M=6030
A=3210 B=3132 C=8785 X=119586746 Y=6559749451 Z=54742686389 M=3568
A=8369 B=7145 C=7039 X=490373658 Y=2437214702 Z=49174641066 M=8014
A=7284 B=4530 C=5859 X=880657490 Y=7469525622 Z=71120374690 M=2674
A=2554 B=7824 C=8579 X=957790915 Y=8169102255 Z=19689805333 M=9237
A=9809 B=4837 C=5980 X=930143038 Y=5775897605 Z=54512305454 M=7348
A=4813 B=8806 C=9074 X=721850816 Y=9242416151 Z=94844972701 M=6096
A=3893 B=4618 C=9047 X=630946169 Y=1230257517 Z=93761892751 M=1594
A=3105 B=5802 C=8008 X=506944317 Y=8982449573 Z=62882494474 M=6472
A=4003 B=9354 C=7011 X=870624438 Y=5064865265 Z=42215859771 M=3730
A=5008 B=7897 C=8138 X=966861095 Y=8744572374 Z=96636732795 M=8238
A=8498 B=3402 C=6008 X=990288726 Y=1010101099 Z=63037526660 M=8398
A=3001 B=6636 C=6112 X=645727497 Y=8064095806 Z=62794065468 M=6466
A=4058 B=6557 C=5375 X=467644916 Y=6175664172 Z=19807748146 M=7441
A=8985 B=5803 C=5408 X=523314074 Y=3568538374 Z=95335966876 M=2774
A=2654 B=4378 C=8298 X=842723953 Y=2506800238 Z=54247542840 M=5738
A=7216 B=3914 C=9146 X=827988270 Y=8425778961 Z=12728373889 M=6939
A=7604 B=9553 C=5318 X=713821120 Y=9324178837 Z=23744553566 M=4990
A=9742 B=5529 C=8536 X=614574078 Y=1058868763 Z=60365894782 M=1066
A=4460 B=7530 C=8901 X=420718197 Y=6431227061 Z=94881660021 M=5418
A=3168 B=9781 C=8227 X=175556461 Y=3710821143 Z=55298784521 M=9984
A=6911 B=9632 C=7881 X=698834310 Y=3356260294 Z=86386146516 M=1685
A=3632 B=5270 C=5468 X=600563090 Y=5280311582 Z=47014925606 M=4497
A=2601 B=9996 C=9595 X=624191152 Y=1170505971 Z=62157582682 M=8391
A=3661 B=5175 C=8817 X=178852447 Y=7585550468 Z=96552225129 M=1940
A=9312 B=3877 C=7660 X=855410956 Y=4385144063 Z=17992403781 M=9672
A=9826 B=8002 C=9143 X=626677578 Y=9385037763 Z=53433566301 M=8316
A=9002 B=3875 C=7475 X=103969235 Y=4143124236 Z=32316209475 M=7888
A=9311 B=9192 C=6911 X=139648683 Y=5781090245 Z=64513946311 M=4835
A=6048 B=6745 C=5711 X=501759987 Y=3514594767 Z=64358222435 M=8535
A=9863 B=3433 C=5962 X=713333104 Y=7834657774 Z=38149779752 M=8878
A=3761 B=3500 C=8663 X=764974772 Y=3522656241 Z=38501843650 M=4289
A=7296 B=9704 C=7109 X=568868407 Y=6014276591 Z=43302433979 M=8123
A=9621 B=7106 C=7220 X=468149480 Y=3615975022 Z=29107001842 M=9502
A=7501 B=5226 C=8959 X=362539605 Y=6825897802 Z=49373092022 M=3413
A=5858 B=9896 C=7046 X=414110559 Y=9113310349 Z=72075521137 M=7174
A=2542 B=5622 C=6248 X=453636057 Y=4226347985 Z=84517101504 M=4654
A=2833 B=7717 C=8303 X=672316169 Y=6273477986 Z=44740396610 M=7728
A=8768 B=5528 C=8857 X=158293940 Y=4836145572 Z=74602182489 M=7254
A=3374 B=7694 C=7553 X=644887521 Y=3208632536 Z=73959612466 M=8872
A=6305 B=7569 C=5494 X=185592405 Y=1759685847 Z=59203632910 M=1275
A=9155 B=8612 C=7276 X=660154575 Y=4095914991 Z=91003190119 M=8082
A=7377 B=8061 C=8139 X=219559863 Y=4586892709 Z=82843379029 M=5934
A=4021 B=3561 C=8069 X=873930480 Y=7717178337 Z=86065463189 M=6632
A=5567 B=4233 C=7870 X=548524473 Y=4066322183 Z=63643275397 M=1287
A=5794 B=5212 C=5360 X=393311267 Y=6323086829 Z=91251388388 M=7139
A=5041 B=6222 C=7267 X=693817381 Y=1684337890 Z=85051058497 M=4882
A=5952 B=5196 C=5017 X=372036517 Y=1147451209 Z=40502162112 M=2320
A=3098 B=8569 C=9474 X=548974183 Y=5424710273 Z=19378208227 M=8369
A=7005 B=4636 C=7552 X=182985350 Y=9093865090 Z=10110086375 M=9945
A=5864 B=6837 C=7128 X=651429104 Y=8396489375 Z=78495120309 M=9754
A=9106 B=7501 C=8705 X=838778612 Y=4608802400 Z=25861467651 M=7107
A=2417 B=4682 C=9128 X=328562901 Y=2439542830 Z=22775305603 M=1100
A=8310 B=3315 C=8288 X=767915797 Y=4284311570 Z=55247559531 M=7784
A=4447 B=6612 C=8913 X=606054079 Y=4983924326 Z=87069083299 M=9431
A=3365 B=9161 C=8033 X=429257762 Y=3318393180 Z=37317167153 M=8264
A=2866 B=3037 C=6807 X=559495275 Y=8056407639 Z=50008696671 M=3190
A=3637 B=7892 C=5988 X=412891152 Y=3749308834 Z=43570643618 M=5788
A=8457 B=8999 C=8458 X=668070603 Y=6099711311 Z=56736742891 M=6255
A=6276 B=9812 C=6094 X=913433508 Y=7713796149 Z=60658088880 M=1275
A=8347 B=3258 C=5054 X=145414788 Y=6959741276 Z=33063213456 M=5869
A=2641 B=6914 C=9752 X=365513400 Y=8213506843 Z=76893420809 M=6730
A=5911 B=9353 C=7877 X=427086475 Y=1961841152 Z=77120589805 M=7734
A=8003 B=4259 C=5422 X=509177101 Y=6679295856 Z=88246675439 M=2599
A=8056 B=3062 C=8872 X=563405472 Y=3918601347 Z=94737204986 M=2867
A=8531 B=6118 C=8120 X=251987492 Y=4070256975 Z=49926173216 M=8589
A=4768 B=3360 C=8913 X=352599727 Y=5668485579 Z=45099901347 M=7777
A=8162 B=5240 C=5004 X=744349978 Y=4959585916 Z=74802366485 M=6043
A=3159 B=8054 C=6882 X=385224828 Y=4154517353 Z=30590715602 M=9297
A=7665 B=4780 C=5626 X=356322995 Y=2833129192 Z=95852778898 M=4838
A=9253 B=3027 C=7957 X=324108205 Y=7372171113 Z=74839044483 M=8793
A=9430 B=9818 C=7324 X=121794078 Y=2315548999 Z=32392395504 M=9281
A=3680 B=7404 C=5418 X=423710658 Y=1101079839 Z=72175070685 M=1719
A=5662 B=6181 C=7397 X=201612699 Y=1549429667 Z=67275931057 M=4328
A=3839 B=7260 C=8605 X=533568167 Y=9233696908 Z=74997943270 M=8909
