id=1, plug=GREEN PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=WHITE OCTAGON, data=-----------------2---
id=69, plug=CYAN TRIANGLE, leftSocket=GREEN HEXAGON, rightSocket=YELLOW TRIANGLE, data=---------------------
id=70, plug=BLACK STAR, leftSocket=RED SQUARE, rightSocket=BLUE CIRCLE, data=---------------------
id=71, plug=GREEN DIAMOND, leftSocket=GREEN HEXAGON, rightSocket=YELLOW STAR, data=1-1----3-3----------1
id=72, plug=BLACK HEXAGON, leftSocket=BLUE TRIANGLE, rightSocket=CYAN CIRCLE, data=---1------3----------
id=73, plug=BLACK HEXAGON, leftSocket=RED STAR, rightSocket=GREEN SQUARE, data=----1------3---------
id=74, plug=WHITE CIRCLE, leftSocket=RED STAR, rightSocket=RED DIAMOND, data=------1------3-------
id=75, plug=CYAN PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=MAGENTA DIAMOND, data=---------------------
id=76, plug=GREEN TRIANGLE, leftSocket=WHITE SQUARE, rightSocket=CYAN DIAMOND, data=----1------3------2--
id=77, plug=CYAN PENTAGON, leftSocket=YELLOW HEXAGON, rightSocket=RED HEXAGON, data=---------------------
id=78, plug=YELLOW TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=CYAN SQUARE, data=--1-1----3-3--------1
id=79, plug=MAGENTA DIAMOND, leftSocket=RED STAR, rightSocket=GREEN HEXAGON, data=------1------3-------
id=80, plug=BLUE SQUARE, leftSocket=YELLOW SQUARE, rightSocket=RED DIAMOND, data=-----1------3--------
id=81, plug=GREEN OCTAGON, leftSocket=BLACK OCTAGON, rightSocket=YELLOW STAR, data=---1-1----3-3-------1
id=82, plug=RED CIRCLE, leftSocket=RED STAR, rightSocket=BLACK HEXAGON, data=---1------3-------2--
id=83, plug=BLUE SQUARE, leftSocket=BLUE CIRCLE, rightSocket=GREEN DIAMOND, data=---------------------
id=84, plug=MAGENTA STAR, leftSocket=MAGENTA DIAMOND, rightSocket=CYAN OCTAGON, data=-----------------2---
id=85, plug=WHITE HEXAGON, leftSocket=GREEN CIRCLE, rightSocket=GREEN SQUARE, data=----1------3---------
id=86, plug=GREEN CIRCLE, leftSocket=BLACK OCTAGON, rightSocket=RED PENTAGON, data=---1------3--------1-
id=87, plug=RED HEXAGON, leftSocket=WHITE HEXAGON, rightSocket=GREEN CIRCLE, data=----1------3--------1
id=88, plug=MAGENTA CIRCLE, leftSocket=BLACK PENTAGON, rightSocket=RED OCTAGON, data=---1------3--------1-
id=89, plug=CYAN OCTAGON, leftSocket=BLACK TRIANGLE, rightSocket=GREEN STAR, data=----1------3---------
id=90, plug=RED TRIANGLE, leftSocket=BLUE TRIANGLE, rightSocket=CYAN STAR, data=----1------3--------1
id=91, plug=BLACK STAR, leftSocket=BLUE CIRCLE, rightSocket=MAGENTA CIRCLE, data=-1------3------------
id=92, plug=GREEN OCTAGON, leftSocket=CYAN CIRCLE, rightSocket=GREEN TRIANGLE, data=-1------3------------
id=93, plug=BLUE STAR, leftSocket=YELLOW STAR, rightSocket=BLACK SQUARE, data=----1------3---------
id=94, plug=GREEN DIAMOND, leftSocket=BLUE PENTAGON, rightSocket=GREEN CIRCLE, data=-1------3------------
id=95, plug=MAGENTA CIRCLE, leftSocket=WHITE CIRCLE, rightSocket=GREEN PENTAGON, data=-----------------2---
id=96, plug=YELLOW PENTAGON, leftSocket=MAGENTA HEXAGON, rightSocket=WHITE PENTAGON, data=----1------3--------1
id=97, plug=MAGENTA HEXAGON, leftSocket=WHITE STAR, rightSocket=CYAN DIAMOND, data=--1------3-----------
id=98, plug=GREEN CIRCLE, leftSocket=YELLOW SQUARE, rightSocket=YELLOW DIAMOND, data=-1-1----3-3-----3---1
id=99, plug=BLACK HEXAGON, leftSocket=BLACK PENTAGON, rightSocket=WHITE HEXAGON, data=---1------3----------
id=100, plug=YELLOW CIRCLE, leftSocket=MAGENTA DIAMOND, rightSocket=YELLOW OCTAGON, data=-1------3------------
id=101, plug=WHITE OCTAGON, leftSocket=BLACK OCTAGON, rightSocket=MAGENTA CIRCLE, data=----1------3-------1-
id=102, plug=GREEN STAR, leftSocket=GREEN CIRCLE, rightSocket=WHITE SQUARE, data=---1------3-------2--
id=103, plug=BLACK HEXAGON, leftSocket=MAGENTA PENTAGON, rightSocket=RED DIAMOND, data=---------------------
id=104, plug=WHITE CIRCLE, leftSocket=CYAN SQUARE, rightSocket=MAGENTA OCTAGON, data=--1------3-----------
id=105, plug=RED DIAMOND, leftSocket=GREEN PENTAGON, rightSocket=BLUE DIAMOND, data=---1------3----------
id=106, plug=MAGENTA DIAMOND, leftSocket=RED HEXAGON, rightSocket=RED STAR, data=-------1------3------
id=107, plug=CYAN HEXAGON, leftSocket=MAGENTA STAR, rightSocket=RED OCTAGON, data=-------1------3------
id=108, plug=YELLOW PENTAGON, leftSocket=BLUE TRIANGLE, rightSocket=YELLOW DIAMOND, data=---1------3---------1
id=109, plug=BLUE SQUARE, leftSocket=RED CIRCLE, rightSocket=WHITE TRIANGLE, data=---------------------
id=110, plug=GREEN SQUARE, leftSocket=GREEN CIRCLE, rightSocket=GREEN CIRCLE, data=-----1------3--------
id=111, plug=GREEN HEXAGON, leftSocket=GREEN PENTAGON, rightSocket=GREEN SQUARE, data=-----1------3-------1
id=112, plug=MAGENTA CIRCLE, leftSocket=WHITE TRIANGLE, rightSocket=WHITE PENTAGON, data=----1------3-------1-
id=113, plug=MAGENTA DIAMOND, leftSocket=MAGENTA SQUARE, rightSocket=CYAN CIRCLE, data=---------------------
id=114, plug=YELLOW STAR, leftSocket=RED PENTAGON, rightSocket=CYAN STAR, data=----1-1----3-3------1
id=115, plug=RED PENTAGON, leftSocket=MAGENTA OCTAGON, rightSocket=BLUE PENTAGON, data=-----1------3-------1
id=116, plug=CYAN HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=BLACK HEXAGON, data=---------------------
id=117, plug=BLACK CIRCLE, leftSocket=RED TRIANGLE, rightSocket=BLACK DIAMOND, data=------1------3-------
id=118, plug=BLACK STAR, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE STAR, data=---------------------
id=119, plug=CYAN CIRCLE, leftSocket=BLUE STAR, rightSocket=YELLOW HEXAGON, data=----1------3---------
id=120, plug=BLUE STAR, leftSocket=GREEN PENTAGON, rightSocket=GREEN PENTAGON, data=-----1------3--------
id=121, plug=BLUE DIAMOND, leftSocket=YELLOW PENTAGON, rightSocket=GREEN OCTAGON, data=---1-1----3-3-------1
id=122, plug=BLACK OCTAGON, leftSocket=RED TRIANGLE, rightSocket=WHITE SQUARE, data=-----------------2---
id=123, plug=BLUE DIAMOND, leftSocket=RED SQUARE, rightSocket=BLUE SQUARE, data=--1-1----3-3----3---1
id=124, plug=RED TRIANGLE, leftSocket=MAGENTA PENTAGON, rightSocket=GREEN DIAMOND, data=----1------3---------
id=125, plug=GREEN OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=BLACK PENTAGON, data=--1------3-----------
id=126, plug=WHITE HEXAGON, leftSocket=GREEN CIRCLE, rightSocket=BLACK TRIANGLE, data=----1------3------2--
id=127, plug=BLACK STAR, leftSocket=WHITE TRIANGLE, rightSocket=CYAN OCTAGON, data=--1-1----3-3----3---1
id=128, plug=RED OCTAGON, leftSocket=RED SQUARE, rightSocket=BLUE SQUARE, data=-----1------3--------
id=129, plug=RED OCTAGON, leftSocket=CYAN STAR, rightSocket=BLACK OCTAGON, data=-----1------3-------1
id=130, plug=WHITE SQUARE, leftSocket=RED DIAMOND, rightSocket=CYAN OCTAGON, data=--1------3-----------
id=131, plug=BLACK STAR, leftSocket=YELLOW OCTAGON, rightSocket=YELLOW PENTAGON, data=----1------3---------
