id=1, plug=WHITE SQUARE, leftSocket=BLUE SQUARE, rightSocket=BLACK STAR, data=---------------------
id=92, plug=CYAN OCTAGON, leftSocket=CYAN DIAMOND, rightSocket=WHITE OCTAGON, data=-----3-3----2-2-----1
id=93, plug=BLUE PENTAGON, leftSocket=YELLOW PENTAGON, rightSocket=CYAN OCTAGON, data=--------------------1
id=94, plug=WHITE SQUARE, leftSocket=WHITE DIAMOND, rightSocket=MAGENTA TRIANGLE, data=-----3-3----2-2------
id=95, plug=WHITE PENTAGON, leftSocket=CYAN OCTAGON, rightSocket=GREEN SQUARE, data=1--------------------
id=96, plug=BLUE OCTAGON, leftSocket=CYAN DIAMOND, rightSocket=CYAN PENTAGON, data=-----3------2-------1
id=97, plug=CYAN TRIANGLE, leftSocket=CYAN TRIANGLE, rightSocket=BLUE HEXAGON, data=--------------------1
id=98, plug=CYAN OCTAGON, leftSocket=MAGENTA SQUARE, rightSocket=YELLOW TRIANGLE, data=------3-3----2-2-----
id=99, plug=CYAN STAR, leftSocket=CYAN SQUARE, rightSocket=RED DIAMOND, data=---------------------
id=100, plug=WHITE HEXAGON, leftSocket=WHITE TRIANGLE, rightSocket=RED PENTAGON, data=----3------2--------1
id=101, plug=BLUE OCTAGON, leftSocket=BLACK PENTAGON, rightSocket=YELLOW DIAMOND, data=--------------------1
id=102, plug=BLUE HEXAGON, leftSocket=RED OCTAGON, rightSocket=CYAN CIRCLE, data=---------------------
id=103, plug=CYAN STAR, leftSocket=MAGENTA PENTAGON, rightSocket=MAGENTA OCTAGON, data=------3-3----2-2----1
id=104, plug=RED SQUARE, leftSocket=BLACK CIRCLE, rightSocket=BLUE HEXAGON, data=1--------------------
id=105, plug=BLUE TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=RED STAR, data=-----3------2--------
id=106, plug=MAGENTA HEXAGON, leftSocket=WHITE OCTAGON, rightSocket=CYAN TRIANGLE, data=1------3------2------
id=107, plug=CYAN DIAMOND, leftSocket=RED DIAMOND, rightSocket=WHITE STAR, data=-----3------2--------
id=108, plug=WHITE DIAMOND, leftSocket=RED HEXAGON, rightSocket=MAGENTA PENTAGON, data=1--------------------
id=109, plug=BLUE STAR, leftSocket=YELLOW DIAMOND, rightSocket=YELLOW CIRCLE, data=--------------------1
id=110, plug=MAGENTA OCTAGON, leftSocket=GREEN PENTAGON, rightSocket=RED TRIANGLE, data=---------------------
id=111, plug=CYAN SQUARE, leftSocket=RED CIRCLE, rightSocket=BLUE PENTAGON, data=------3-3----2-2-----
id=112, plug=YELLOW SQUARE, leftSocket=RED OCTAGON, rightSocket=GREEN STAR, data=1--------------------
id=113, plug=CYAN SQUARE, leftSocket=GREEN HEXAGON, rightSocket=RED OCTAGON, data=---------------------
id=114, plug=MAGENTA OCTAGON, leftSocket=GREEN DIAMOND, rightSocket=BLACK DIAMOND, data=---------------------
id=115, plug=YELLOW OCTAGON, leftSocket=WHITE PENTAGON, rightSocket=MAGENTA HEXAGON, data=--------------------1
id=116, plug=GREEN HEXAGON, leftSocket=YELLOW PENTAGON, rightSocket=YELLOW OCTAGON, data=1------3------2------
id=117, plug=RED HEXAGON, leftSocket=WHITE CIRCLE, rightSocket=WHITE OCTAGON, data=1-----3-3----2-2-----
id=118, plug=MAGENTA HEXAGON, leftSocket=GREEN PENTAGON, rightSocket=GREEN PENTAGON, data=---------------------
id=119, plug=MAGENTA STAR, leftSocket=CYAN PENTAGON, rightSocket=GREEN CIRCLE, data=------3--3---2--2----
id=120, plug=GREEN HEXAGON, leftSocket=CYAN OCTAGON, rightSocket=MAGENTA SQUARE, data=------3--3---2--2---1
id=121, plug=GREEN PENTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=CYAN SQUARE, data=-----3------2-------1
id=122, plug=YELLOW DIAMOND, leftSocket=GREEN OCTAGON, rightSocket=CYAN STAR, data=----3------2--------1
id=123, plug=BLUE OCTAGON, leftSocket=BLACK STAR, rightSocket=WHITE DIAMOND, data=---------------------
